ZCTA,Diagnosed diabetes among adults aged >=18 years,Mental health not good for >=14 days among adults aged >=18 years,Stroke among adults aged >=18 years
16692,0.111,0.184,0.035
16693,0.10800000000000001,0.17600000000000002,0.035
16694,0.121,0.17600000000000002,0.039
16695,0.10099999999999999,0.172,0.034
16699,0.083,0.151,0.02
16701,0.10800000000000001,0.17800000000000002,0.035
16720,0.12300000000000001,0.158,0.039
16724,0.109,0.162,0.037000000000000005
16725,0.099,0.158,0.034
16726,0.109,0.157,0.034
16727,0.10300000000000001,0.161,0.036000000000000004
16729,0.111,0.168,0.035
16730,0.111,0.163,0.036000000000000004
16731,0.11,0.16899999999999998,0.035
16732,0.106,0.158,0.035
16733,0.11800000000000001,0.163,0.036000000000000004
16734,0.10300000000000001,0.152,0.036000000000000004
16735,0.113,0.159,0.038
16738,0.086,0.149,0.024
16740,0.115,0.16399999999999998,0.038
16743,0.109,0.165,0.036000000000000004
16744,0.098,0.16,0.031
16745,0.10800000000000001,0.16899999999999998,0.035
16746,0.11599999999999999,0.16399999999999998,0.037000000000000005
16748,0.121,0.17300000000000001,0.039
16749,0.111,0.159,0.038
16750,0.106,0.168,0.033
16801,0.057,0.21600000000000003,0.018000000000000002
16802,0.026000000000000002,0.34600000000000003,0.008
16803,0.057999999999999996,0.16899999999999998,0.018000000000000002
16820,0.099,0.179,0.035
16821,0.096,0.177,0.031
16822,0.106,0.165,0.034
16823,0.081,0.15,0.027000000000000003
16825,0.11199999999999999,0.17600000000000002,0.035
16826,0.094,0.159,0.031
16827,0.07400000000000001,0.122,0.023
16828,0.091,0.13699999999999998,0.03
16829,0.10400000000000001,0.157,0.036000000000000004
16830,0.11900000000000001,0.171,0.040999999999999995
16832,0.10400000000000001,0.17300000000000001,0.036000000000000004
16833,0.11599999999999999,0.16399999999999998,0.039
16834,0.113,0.166,0.035
16835,0.087,0.157,0.027000000000000003
16836,0.11199999999999999,0.165,0.036000000000000004
16837,0.10300000000000001,0.16699999999999998,0.033
16838,0.11,0.166,0.036000000000000004
16839,0.10099999999999999,0.17300000000000001,0.034
16840,0.11699999999999999,0.16,0.042
16841,0.094,0.159,0.031
16843,0.11800000000000001,0.157,0.039
16844,0.08900000000000001,0.153,0.027999999999999997
16845,0.08199999999999999,0.172,0.027000000000000003
16847,0.09300000000000001,0.18,0.032
16848,0.09699999999999999,0.16399999999999998,0.033
16849,0.114,0.165,0.038
16851,0.069,0.128,0.021
16852,0.096,0.18,0.034
16853,0.09300000000000001,0.174,0.031
16854,0.105,0.172,0.038
16855,0.113,0.175,0.038
16858,0.10400000000000001,0.172,0.034
16859,0.1,0.16399999999999998,0.032
16860,0.109,0.156,0.036000000000000004
16861,0.122,0.17600000000000002,0.04
16863,0.11900000000000001,0.168,0.038
16865,0.07400000000000001,0.11900000000000001,0.023
16866,0.113,0.163,0.036000000000000004
16868,0.06,0.127,0.02
16870,0.075,0.138,0.023
16872,0.096,0.18100000000000002,0.034
16874,0.099,0.161,0.033
16875,0.08800000000000001,0.14800000000000002,0.028999999999999998
16876,0.098,0.18600000000000003,0.03
16877,0.085,0.138,0.027000000000000003
16878,0.11199999999999999,0.175,0.036000000000000004
16879,0.098,0.175,0.032
16881,0.111,0.175,0.036000000000000004
16882,0.10400000000000001,0.17300000000000001,0.037000000000000005
16901,0.111,0.152,0.037000000000000005
16911,0.114,0.16,0.036000000000000004
16912,0.105,0.163,0.034
16914,0.10800000000000001,0.161,0.035
16915,0.11599999999999999,0.161,0.039
16917,0.10400000000000001,0.162,0.033
16920,0.11199999999999999,0.174,0.037000000000000005
16921,0.124,0.146,0.04
16922,0.13,0.16699999999999998,0.042
16923,0.126,0.175,0.04
16925,0.114,0.16399999999999998,0.036000000000000004
16926,0.10400000000000001,0.168,0.034
16927,0.12300000000000001,0.179,0.038
16928,0.124,0.177,0.04
16929,0.11199999999999999,0.166,0.036000000000000004
16930,0.114,0.16899999999999998,0.037000000000000005
16932,0.10300000000000001,0.16,0.032
16933,0.086,0.198,0.027000000000000003
16935,0.113,0.163,0.035
16936,0.113,0.162,0.035
16937,0.128,0.17,0.042
16938,0.125,0.16,0.04
16939,0.098,0.165,0.033
16940,0.11199999999999999,0.174,0.036000000000000004
16941,0.132,0.175,0.043
16942,0.11699999999999999,0.17,0.037000000000000005
16943,0.128,0.159,0.040999999999999995
16946,0.106,0.16899999999999998,0.033
16947,0.11599999999999999,0.159,0.039
16948,0.127,0.17600000000000002,0.040999999999999995
16950,0.127,0.171,0.040999999999999995
17002,0.10800000000000001,0.187,0.037000000000000005
17003,0.087,0.162,0.028999999999999998
17004,0.121,0.17800000000000002,0.047
17005,0.122,0.185,0.042
17006,0.12,0.18,0.04
17007,0.084,0.128,0.026000000000000002
17009,0.102,0.174,0.034
17010,0.08,0.152,0.024
17011,0.08800000000000001,0.135,0.028999999999999998
17013,0.09,0.155,0.03
17015,0.098,0.14400000000000002,0.031
17016,0.131,0.095,0.062
17017,0.109,0.16399999999999998,0.037000000000000005
17018,0.087,0.139,0.027000000000000003
17019,0.085,0.14300000000000002,0.026000000000000002
17020,0.09699999999999999,0.165,0.031
17021,0.122,0.182,0.039
17022,0.079,0.152,0.028999999999999998
17023,0.105,0.16899999999999998,0.034
17024,0.10099999999999999,0.174,0.032
17025,0.08,0.149,0.025
17026,0.1,0.168,0.032
17027,0.016,0.22399999999999998,0.006
17028,0.09,0.156,0.027000000000000003
17029,0.121,0.14800000000000002,0.045
17030,0.12300000000000001,0.17800000000000002,0.044000000000000004
17032,0.094,0.161,0.03
17033,0.085,0.141,0.027999999999999997
17034,0.115,0.182,0.035
17035,0.126,0.177,0.040999999999999995
17036,0.083,0.141,0.025
17037,0.10400000000000001,0.179,0.034
17038,0.092,0.17,0.028999999999999998
17040,0.106,0.16899999999999998,0.034
17041,0.08,0.152,0.025
17042,0.111,0.158,0.035
17043,0.076,0.145,0.025
17044,0.11800000000000001,0.171,0.039
17045,0.1,0.165,0.032
17046,0.11900000000000001,0.175,0.035
17047,0.105,0.184,0.035
17048,0.11699999999999999,0.184,0.039
17049,0.10099999999999999,0.16399999999999998,0.034
17050,0.08199999999999999,0.126,0.025
17051,0.111,0.165,0.038
17052,0.107,0.168,0.035
17053,0.095,0.158,0.03
17055,0.086,0.135,0.028999999999999998
17056,0.11,0.18899999999999997,0.035
17057,0.102,0.17,0.033
